region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Uppsalakommun,Luthagen,Geijersgatan 21C,1.5,48.0,2302,2395000,2395000
Uppsalakommun,Höganäs,S:t Olofsgatan 43A,1,36.0,2045,2000000,1801801
Uppsalakommun,Uppsala,Dimgatan 9,3,75.5,3983,2075000,1995192
Uppsalakommun,Salabacke,Ritargatan 5,5,120.5,5412,5750000,4600000
Uppsalakommun,Nyby,Lidnersgatan 31,3,76.5,4294,2715000,2402654
Uppsalakommun,SALABACKE,Fyrislundsgatan 37B,2,42.0,2650,1850000,1850000
Uppsalakommun,Centrum,Vaksalagatan 43,2,31.9,1703,2000000,1801801
Uppsalakommun,Salabacke,Murargatan 28c,3,66.0,3085,2410000,2042372
Uppsalakommun,Kapellgärdet,Portalgatan 75,1,41.0,2504,2000000,2000000
Uppsalakommun,Fålhagen,Fålhagsleden 4D,1,37.0,2105,1925000,1925000
Uppsalakommun,FrämreLuthagen,Börjegatan 1B,1.5,40.0,2272,3000000,2255639
Uppsalakommun,Kapellgärdet,Margit Sahlins Gata 1,3,72.0,3409,3300000,3300000
Uppsalakommun,Salabacke,Byggmästargatan 13A,2,56.0,3100,2100000,1794871
Uppsalakommun,Salabacke,Murargatan 22D,4,92.9,4510,2600000,2549019
Uppsalakommun,Fålhagen,Salagatan 53C,2,41.0,2982,2550000,2198275
Uppsalakommun,Salabacke,Källparksgatan 4,3,75.3,3281,2740000,2403508
Uppsalakommun,Ulleråker,Gustaf Kjellbergs Väg 3B,2,39.0,2617,2050000,2009803
Uppsalakommun,Höganäs,Vaksalagatan 40B,1,15.9,1122,950000,896226
Uppsalakommun,Sävja,Smålandsvägen 97,4,94.6,6561,2840000,2784313
Uppsalakommun,Fålhagen,Österängsgatan 22D,2,67.4,3112,2395000,2302884
Uppsalakommun,Industristaden,Tullgarnsgatan 21,3,74.0,3684,3520000,3142857
Uppsalakommun,Fålhagen,Frodegatan 19A,3.5,77.0,4148,3420000,3288461
Uppsalakommun,Luthagen,Ringgatan 4D,3,86.0,4852,3910000,3654205
Uppsalakommun,Fålhagen,Petterslundsgatan 21C,3,75.7,3441,3285000,2488636
Uppsalakommun,Fålhagen,Väderkvarnsgatan 44A,1.5,50.4,2561,2225000,2202970
Uppsalakommun,GränbyBacke,Råbyvägen 57E,2,58.0,3618,1895000,1895000
Uppsalakommun,Salabacke,Apelgatan 7D - FAST PRIS,2,59.5,3460,2100000,2100000
Uppsalakommun,Svartbäcken,Svartbäcksgatan 70A,1,35.8,1965,1800000,1747572
Uppsalakommun,Kungsängen,Viragatan 7,3,81.0,4706,3960000,3599999
Uppsalakommun,Nyby,Gamla Uppsalagatan 125,2,41.0,2452,1650000,1601941
Uppsalakommun,Uppsala,Råbyvägen 57 H,3,78.0,4157,2400000,2400000
Uppsalakommun,Luthagen,Ringgatan 47B,2,63.5,3186,2600000,2385321
Uppsalakommun,Stenhagen,Stenhagsvägen 89,3,83.0,5335,1720000,1592592
Uppsalakommun,Årsta,Gräslöksgatan 34,3,78.0,4462,2500000,2403846
Uppsalakommun,Löten,Bellmansgatan 36,5,136.0,8006,4000000,2403846
Uppsalakommun,Kapellgärdet,Råbyvägen 78,2,66.0,3853,2230000,2165048
Uppsalakommun,Gottsunda,Henry Wemans väg 12,2,53.0,2970,1750000,1699029
Uppsalakommun,Centrum,Skolgatan 18,1.5,42.9,2397,2625000,2302631
Uppsalakommun,Luthagen,Gimogatan 5B,2,44.5,2717,1800000,1800000
Uppsalakommun,Fålhagen,S:t Göransgatan 31C,1,39.0,2490,1920000,1794392
Uppsalakommun,Rosendal,Torgny Segerstedts Allé 26,2,40.0,2912,2100000,2000000
Uppsalakommun,Kapellgärdet,Råbyvägen 41,3,62.5,3696,2250000,2250000
Uppsalakommun,Höganäs,S:t Olofsgatan 41A,4,91.0,4551,4000000,3703703
Uppsalakommun,Herrhagen,Herrhagsvägen 186,3,72.4,4846,1735000,1717821
Uppsalakommun,Luthagen,Geijersgatan 56A,1.5,38.8,2098,1950000,1950000
Uppsalakommun,Luthagen,Prästgårdsgatan 5A,2,56.0,2824,2225000,2099056
Uppsalakommun,Kapellgärdet,Portalgatan 61,2,49.0,3668,2195000,2195000
Uppsalakommun,Höganäs,S:t Olofsgatan 56a,2,44.0,2656,2150000,2150000
Uppsalakommun,Heidenstam,Stagneliusgatan 9,5,136.0,7799,3850000,2984496
Uppsalakommun,Svartbäcken,Svartbäcksgatan 99D,2,61.0,3548,2550000,2550000
Uppsalakommun,Svartbäcken,Swedenborgsgatan 30C,2,52.5,3851,2020000,1887850
Uppsalakommun,Fålhagen,Norrtäljegatan 7A,3,80.0,3850,3850000,3499999
Uppsalakommun,Fålhagen,Petterslundsgatan 14 E,1,24.0,1759,1695000,1695000
Uppsalakommun,Luthagen,Prästgårdsgatan 15B,4,92.0,4776,4100000,3693693
Uppsalakommun,Fålhagen,Fålhagsleden 13,1.5,38.0,2550,2200000,2200000
Uppsalakommun,Rosendal,Torgny Segerstedts allé 46,4,126.0,5350,4510000,4378640
Uppsalakommun,Kungsgärdet,S:t Johannesgatan 36 B,2,46.0,3387,2175000,1995412
Uppsalakommun,Gränby,Råbyvägen 57E,2,58.0,3618,1915000,1823809
Uppsalakommun,Luthagen,Börjegatan 54B,1,20.2,1037,1295000,1295000
Uppsalakommun,Salabacke,Ritargatan 1E,2,57.0,3194,2250000,1991150
Uppsalakommun,Kapellgärdet,Ljusbärargatan 3,2,42.0,2661,2270000,1991228
Uppsalakommun,Sävja,Gotlandsresan 190,2,68.5,4293,1550000,1490384
Uppsalakommun,Slavsta,Stålgatan 40,3,80.0,4964,2300000,2129629
Uppsalakommun,NorraRosendal,Dekangatan 10 (2-1004),2,52.0,3049,1945000,1945000
Uppsalakommun,Norby,Eksoppsvägen 55,2,61.0,4199,2000000,1945000
Uppsalakommun,Kapellgärdet,Torngatan 38,4,95.0,4614,4300000,3981481
Uppsalakommun,Industristaden,Mältargatan 13 A,3,80.0,4364,3700000,3303571
Uppsalakommun,Nyby,Leopoldsgatan 32,1,41.0,2868,1550000,1550000
Uppsalakommun,Kungsängen,Mältargatan 2,2,62.0,3636,2800000,1550000
Uppsalakommun,Kapellgärdet,Portalgatan 92,4,96.0,4961,4085000,3890476
Uppsalakommun,Salabacke,Murargatan 18 A,4,87.3,5060,2295000,2295000
Uppsalakommun,Höganäs,Salagatan 7A,2,66.0,3525,3100000,2897196
Uppsalakommun,Kapellgärdet,Portalgatan 53,2,51.0,3601,2085000,2085000
Uppsalakommun,Kungsängen,Kungsängsgatan 57F,2,71.0,4351,2500000,2358490
Uppsalakommun,Nyby,Leopoldsgatan 19,1.5,36.0,2155,1495000,1495000
Uppsalakommun,Höganäs,Väderkvarnsgatan 15 E,2.5,66.0,2885,2850000,2590909
Uppsalakommun,NorraRosendal,Dekangatan 10 (2-1308),1,29.0,1700,1555000,1555000
Uppsalakommun,Salabacke,Murargatan 8B,3,70.9,3807,2575000,2500000
Uppsalakommun,Uppsala,Råbyvägen 80,1.5,45.0,2881,1700000,1588785
Uppsalakommun,Fålhagen,Petterslundsgatan 23 A,1,32.0,1770,1850000,1850000
Uppsalakommun,Uppsala,Bernadottestigen 1B,1,31.0,2095,1425000,1425000
Uppsalakommun,Luthagen,Geijersgatan 50C,3,62.0,4681,2300000,2000000
Uppsalakommun,NorraRosendal,Dekangatan 10 (2-1002),3,53.0,3108,2545000,2545000
Uppsalakommun,Fålhagen,Väderkvarnsgatan 52B,1.5,50.0,2462,2330000,1991452
Uppsalakommun,Sävja,Ölandsresan 3B,2,41.0,2570,1550000,1504854
Uppsalakommun,Gränby,"Dimgatan 19, ½ tr",3,80.0,4255,2105000,1985849
Uppsalakommun,Vårdsätra,Eksätravägen 130,3,72.8,4943,1895000,1895000
Uppsalakommun,Uppsala,Gimogatan 8A,1.5,35.0,2590,1800000,1698113
Uppsalakommun,Salabacke,Murargatan 26C,2,56.1,2915,2000000,1801801
Uppsalakommun,Centrum,Linnégatan 16B,3.5,75.0,4824,3500000,2500000
Uppsalakommun,Gränbystaden,Marknadsgatan 30A,2,52.5,3308,2300000,2300000
Uppsalakommun,Gränby,Marknadsgatan 40,2,43.5,2741,1800000,1800000
Uppsalakommun,Gränby,Marknadsgatan 30A,3,68.5,3996,2550000,2550000
Uppsalakommun,Kapellgärdet,Portalgatan 19,3,77.0,4434,3325000,2995495
Uppsalakommun,Kapellgärdet,Portalgatan 90,5,111.0,5556,4850000,4801980
Uppsalakommun,Fålhagen,Frodegatan 17B,2,61.0,3242,2725000,2595238
Uppsalakommun,Gränbystaden,Marknadsgatan 30B,1,28.0,1797,1400000,1400000
Uppsalakommun,FrämreLuthagen,Luthagsesplanaden 3 B,4,103.0,5208,4700000,4607843
Uppsalakommun,Gränbystaden,Marknadsgatan 40,2,43.5,2741,1775000,1775000
Uppsalakommun,Höganäs,S:t Persgatan 40b,1,41.5,1970,1650000,1527777
Uppsalakommun,Fålhagen,Oxelgatan 16B,2,52.0,3350,2410000,2190909
Uppsalakommun,Nyby,Leopoldsgatan 23,2,52.0,2998,1750000,1699029
Uppsalakommun,Svartbäcken,Timmermansgatan 3D,2,66.7,2876,2800000,2568807
Uppsalakommun,Kapellgärdet,Djäknegatan 50,2.5,57.0,3282,2550000,2090163
Uppsalakommun,Luthagen,Gimogatan 13E,3,86.0,3863,3250000,2981651
Uppsalakommun,Herrhagen,Herrhagsvägen 401,2,52.0,3799,1400000,1400000
Uppsalakommun,Årsta,Fyrislundsgatan 34,2,63.5,3905,1995000,1995000
Uppsalakommun,Centrum,Kålsängsgränd 1 C,2,46.4,3650,2025000,1947115
Uppsalakommun,Gränbystaden,Marknadsgatan 40,3,78.5,4579,2850000,2850000
Uppsalakommun,HÖGANÄS,S:t Olofsgatan 52B,2,40.0,2609,2000000,1904761
Uppsalakommun,Fålhagen,Torkelsgatan 10 A,3,74.3,3512,3720000,3611650
Uppsalakommun,FrämreLuthagen,Sturegatan 1,1,40.0,2706,2425000,2146017
Uppsalakommun,Gränby,Marknadsgatan 30A,2,52.5,3308,2350000,2350000
Uppsalakommun,Eriksberg,Gnejsvägen 2J,2,62.8,4015,2030000,1990196
Uppsalakommun,KÅBO,"Banérgatan 16 C, 1104",4,89.0,4064,4100000,4100000
Uppsalakommun,Herrhagen,Herrhagsvägen 197,2,55.0,2956,1715000,1715000
Uppsalakommun,Höganäs,Vaksalagatan 40B,4,97.0,5384,4300000,3981481
Uppsalakommun,Rosendal,Torgny Segerstedts allé 4,1,31.0,1590,2050000,1990291
Uppsalakommun,Fålhagen,Botvidsgatan 16a,2,48.0,3200,2210000,2104761
Uppsalakommun,CentrumUppsala,Bäverns gränd 15A,1,41.5,1630,2275000,2146226
Uppsalakommun,Svartbäcken,Svartbäcksgatan 127,3,82.0,5031,3215000,2679166
Uppsalakommun,Heidenstam,Stagneliusgatan 27,4,102.5,5469,2440000,2301886
Uppsalakommun,Kungsängen,Mältargatan 13A,2,45.0,2922,2520000,2400000
Uppsalakommun,Salabacke,Byggmästargatan 17C,1,43.0,2438,1650000,1601941
Uppsalakommun,Ekeby,Flogstavägen 5B,3,76.3,6402,1895000,1895000
Uppsalakommun,KÅBO,"Banérgatan 16 B, 1101",5,89.0,4064,4190000,4190000
Uppsalakommun,Salabacke,Källparksgatan 12D,2,42.0,1857,1825000,1789215
Uppsalakommun,Rosendal,Rosendalsvägen 12C,1,27.0,1321,2030000,1897196
Uppsalakommun,Kungsängen,Sågargatan 12A,2,44.0,2916,2660000,2396396
Uppsalakommun,Centrum,Stationsgatan 30,2,59.0,3467,3000000,2884615
Uppsalakommun,Rosendal,Dekangatan 4,4,88.0,4938,3795000,3795000
Uppsalakommun,Kungsängen,Sågargatan 13D,2,66.0,3798,2880000,2742857
Uppsalakommun,Kåbo,Dag Hammarskjölds väg 15A,1,29.0,2652,1700000,1491228
Uppsalakommun,Gränby,Marknadsgatan 44,2,43.5,2741,1825000,1825000
Uppsalakommun,Stenhagen,Stenhagsvägen 255,3,82.5,4754,1760000,1571428
Uppsalakommun,Höganäs,Höganäsgatan 11 C,3,65.3,2779,2915000,2602678
Uppsalakommun,Gränby,Marknadsgatan 40,2,43.5,2741,1800000,1800000
Uppsalakommun,Gränby,Marknadsgatan 40,3,78.5,4579,3000000,3000000
Uppsalakommun,Gränbystaden,Marknadsgatan 40,2,43.5,2741,2025000,2025000
Uppsalakommun,Gränby,Marknadsgatan 44,2.5,55.0,3369,2300000,2300000
Uppsalakommun,Gränby,Marknadsgatan 40,3,78.5,4579,3050000,3050000
Uppsalakommun,Gränby,Marknadsgatan 48,4,94.0,5209,4200000,4200000
Uppsalakommun,Löten,Bellmansgatan 140,3,81.5,4132,2400000,2201834
Uppsalakommun,Gränbystaden,Marknadsgatan 40,2.5,55.0,3369,2200000,2200000
Uppsalakommun,Gränby,Marknadsgatan 44,3,78.5,4579,3400000,3400000
Uppsalakommun,Gränby,Marknadsgatan 44,2,43.5,2741,1875000,1875000
Uppsalakommun,Gränbystaden,Marknadsgatan 44,3,78.5,4579,2800000,2800000
Uppsalakommun,Uppsala,Pålgatan 3,2,54.0,3457,2300000,2254901
Uppsalakommun,Luthagen,Vindhemsgatan 32A,1,41.0,1690,2350000,2259615
Uppsalakommun,Gränbystaden,Marknadsgatan 44,3,78.5,4579,2850000,2850000
Uppsalakommun,Löten,Dagermansgatan 3E,4,84.0,4734,2400000,2201834
Uppsalakommun,Luthagen,Viktoriagatan 6B,1.5,37.5,2669,2390000,1796992
Uppsalakommun,Gränbystaden,Marknadsgatan 40,2.5,55.0,3369,2300000,2300000
Uppsalakommun,Luthagen,Tiundagatan 47,2,59.0,2862,2300000,2300000
Uppsalakommun,Gränby,Marknadsgatan 48,4,94.0,5209,4500000,4500000
Uppsalakommun,Gränbystaden,Marknadsgatan 44,3,78.5,4579,2750000,2750000
Uppsalakommun,Kungsängen,Sållargatan 4,1,32.0,1498,1895000,1895000
Uppsalakommun,Gränby,Marknadsgatan 48,3,79.5,4638,3200000,3200000
Uppsalakommun,Gränbystaden,Marknadsgatan 48,4,94.0,5209,3600000,3600000
Uppsalakommun,Gränby,Marknadsgatan 48,3,79.5,4638,3400000,3400000
Uppsalakommun,Gränby,Marknadsgatan 44,2,43.5,2741,1850000,1850000
Uppsalakommun,Höganäs,S:t Olofsgatan 43B,2,63.0,3326,2685000,2294871
Uppsalakommun,Gränby,Marknadsgatan 40,2,43.5,2741,1825000,1825000
Uppsalakommun,Kungsängen,Skyttelgatan 16,3,86.0,3893,4605000,3597656
Uppsalakommun,Kungsängen,Sågargatan 6C,3,74.0,3684,3820000,3237288
Uppsalakommun,Gränbystaden,Marknadsgatan 44,2,43.5,2741,1800000,1800000
Uppsalakommun,Gränby,Marknadsgatan 40,2,43.5,2641,1850000,1850000
Uppsalakommun,Uppsala,Skolgatan 22A,3,89.0,4339,4900000,4188034
Uppsalakommun,Gränby,Marknadsgatan 44,2,43.5,2741,1925000,1925000
Uppsalakommun,Gränbystaden,Marknadsgatan 40,3,78.5,4579,2950000,2950000
Uppsalakommun,Gränbystaden,Marknadsgatan 44,3,78.5,4579,3050000,3050000
Uppsalakommun,FrämreLuthagen,Luthagsesplanaden 9A,1,19.3,1200,1395000,1395000
Uppsalakommun,Gränby,Marknadsgatan 48,4,94.0,5209,3525000,3525000
Uppsalakommun,Industristaden,Kungsängsesplanaden 12D,3,79.0,4327,3600000,3396226
Uppsalakommun,Löten,Stagneliusgatan 27,3,84.5,4565,2050000,2009803
Uppsalakommun,Ekeby,Flogstavägen 5 A,2,63.0,5658,1600000,1600000
Uppsalakommun,Salabacke,Byggmästargatan 11 A,2,61.0,2951,2090000,2049019
Uppsalakommun,FulleröHage,Stratusvägen 34,5,148.0,4480,4675000,4495192
Uppsalakommun,Centrum,S:t Olofsgatan 31A,3,91.0,4787,5300000,4491525
Uppsalakommun,Vårdsätra,Hugo Alfvéns väg 26,2,64.5,3570,1750000,1699029
Uppsalakommun,Nyby,Lidnersgatan 40,2,63.5,4122,1695000,1695000
Uppsalakommun,Stabby,Pelargatan 22,4,92.0,4888,3600000,3495145
Uppsalakommun,Centrum,Storgatan 23B - FAST PRIS!,3.5,93.0,4870,4995000,4995000
Uppsalakommun,Fålhagen,Norrtäljegatan 6B,3,81.4,4155,3910000,3688679
Uppsalakommun,ÅRSTA,Kamomillgatan 16,2,63.0,3651,2025000,1857798
Uppsalakommun,Kapellgärdet,Ljusbärargatan 1,3,81.0,4167,3575000,3191964
Uppsalakommun,Luthagen,Geijersgatan 14a,1,26.0,1161,1950000,1695652
Uppsalakommun,Salabacke,Byggmästargatan 1F,1,25.5,1933,1295000,1295000
Uppsalakommun,Stenhagen,Stenhagsvägen 144,4,99.9,6880,2200000,1999999
Uppsalakommun,Sävja,Gotlandsresan 85,4,93.0,5683,2300000,1900826
Uppsalakommun,LUTHAGEN,Norrlandsgatan 44A,2,59.0,2878,2100000,2000000
Uppsalakommun,Salabacke,Johannelundsgatan 4,2,56.0,3277,1900000,1900000
Uppsalakommun,Nybygård,Hurtigs Gata 23,1.5,41.0,2791,1430000,1388349
Uppsalakommun,Kapellgärdet,Djäknegatan 27 A,2,46.0,2921,2100000,2000000
Uppsalakommun,Kapellgärdet,Ljusbärargatan 7,3,77.0,4156,3700000,2983870
Uppsalakommun,Centrum,Odensgatan 4A,1,15.6,1087,1350000,1350000
Uppsalakommun,Salabacke,Johannesbäcksgatan 82C,3,69.0,3153,2100000,2000000
Uppsalakommun,Svartbäcken,Sköldungagatan 36C,3,64.0,3693,2800000,2592592
Uppsalakommun,Björklinge,Lindgårdsvägen 34,5,124.6,5890,3050000,2401574
Uppsalakommun,Ekeby,Vänortsgatan 66,3,76.7,4833,5350000,4495798
Uppsalakommun,Fålhagen,Fålhagsleden 4B,1.5,40.0,2317,2010000,1896226
Uppsalakommun,Centrum,Vaksalagatan 22 E,3,119.5,5953,6500000,5963302
Uppsalakommun,Luthagen,Tegnérgatan 33 C,2,54.0,3465,2300000,1982758
Uppsalakommun,Kungsängen,Siktargatan 15,3.5,90.0,3824,3900000,3391304
Uppsalakommun,Centrum,Storgatan 16A,6,117.1,5426,5300000,5300000
Uppsalakommun,Rosendal,Soldathemsvägen 3,3.5,81.0,3518,4255000,3976635
Uppsalakommun,Gränby,Råbyvägen 57A,3.5,78.0,4608,2395000,2395000
Uppsalakommun,Sävja,Smålandsvägen 2,2.5,64.0,4702,1750000,1400000
Uppsalakommun,Salabacke,Ritargatan 1E,3,89.0,4734,2700000,2500000
Uppsalakommun,Löten,Stagneliusgatan 15,2,59.0,3247,1550000,1504854
Uppsalakommun,Kungsgärdet,S:t Johannesgatan 36B,3,56.0,4123,2400000,2000000
Uppsalakommun,Gränby,Råbyvägen 57E,1,36.0,2529,1495000,1495000
Uppsalakommun,Nyby,Wivalliusgatan 39,2,61.0,3175,1875000,1768867
Uppsalakommun,Rosendal,Rosendalsvägen 12,1,27.0,1321,2000000,1941747
Uppsalakommun,Flogsta,Flogstavägen 170,5,114.5,5991,4000000,4000000
Uppsalakommun,Kapellgärdet,Portalgatan 78,2,56.0,3249,2570000,4000000
Uppsalakommun,Rosendal,Torgny Segerstedts allé 21,1,32.0,1566,2000000,1851851
Uppsalakommun,Kungsängen,Industrigatan 19,1,35.0,2108,1995000,1995000
Uppsalakommun,Årsta,"Kamomillgatan 1, lgh 1003",3,78.0,4207,2900000,2500000
Uppsalakommun,Centrum,Trädgårdsgatan 12 A,3,97.1,4420,7800000,6093750
Uppsalakommun,Rosendal,Torgny Segerstedts allé 32,2,48.0,3208,2025000,1985294
Uppsalakommun,Luthagen,Fyrisvallsgatan 10A,1,25.0,1750,1725000,1725000
Uppsalakommun,Gränby,Dimgatan 7,4,90.0,4642,2282500,2194711
Uppsalakommun,Luthagen,Fyrisvallsgatan 12A,1,25.0,1750,1725000,1725000
Uppsalakommun,Salabacke,Ritargatan 1E,1,43.0,2521,1650000,1650000
Uppsalakommun,Fålhagen,Petterslundsgatan 14,1,24.0,1759,1650000,1601941
Uppsalakommun,Salabacke,Fyrislundsgatan 37C,3,75.0,4408,2900000,1601941
Uppsalakommun,Salabacke,Johannesbäcksgatan 86A,4,91.2,4625,2950000,2587719
Uppsalakommun,FrämreLuthagen,Torsgatan 6B,4,102.0,3821,4860000,4811881
Uppsalakommun,Kåbo,Villavägen 37,1,30.2,2464,1250000,1250000
Uppsalakommun,Centrum,Kungsgatan 54 B,2,58.0,2941,2375000,2375000
Uppsalakommun,Höganäs,Salagatan 5A,2.5,66.0,3525,3500000,2375000
Uppsalakommun,Salabacke,Murargatan 26C,1,38.1,2079,1555000,1480952
Uppsalakommun,Luthagen,Gimogatan 5B,2,44.5,2765,1850000,1850000
Uppsalakommun,Luthagen,Tegnérgatan 33A,2,54.0,3451,2500000,2358490
Uppsalakommun,Nyby,Leopoldsgatan 23,3,72.0,3993,2300000,2358490
Uppsalakommun,CENTRUM,S:t Persgatan 27,2,67.7,3617,2650000,2366071
Uppsalakommun,Luthagen,Klangs gränd 3A,1,22.0,2022,1595000,1595000
Uppsalakommun,Luthagen,Götgatan 20C,2,63.0,3772,2805000,2504464
Uppsalakommun,Luthagen,Sibyllegatan 7A,2,54.0,3422,2400000,2201834
Uppsalakommun,Kungsängen,Sågargatan 9A,2,69.0,2797,2745000,2495454
Uppsalakommun,Fålhagen,S:t Persgatan 34 A - Fast Pris,2,62.0,2139,2600000,2600000
Uppsalakommun,Gränby,Dimgatan 22,4,77.0,4712,2510000,2201754
Uppsalakommun,Slavsta,Stålgatan 42,3,80.0,4964,2740000,2490909
Uppsalakommun,Fålhagen,Frodegatan 10B,1,38.5,2586,2425000,2204545
Uppsalakommun,Rosendal,Torgny Segerstedts allé 9,2,38.0,2214,1795000,1795000
Uppsalakommun,Höganäs,Storgatan 12,2,63.0,3693,2360000,2291262
Uppsalakommun,Ulleråker,Henry Säldes väg 10,2,69.5,5002,2400000,2142857
Uppsalakommun,Svartbäcken,Tunagatan 1A,2,54.9,2687,2300000,2190476
Uppsalakommun,Kungsängen,Siktargatan 10,2,37.0,2813,2200000,2190476
Uppsalakommun,Årsta,Fyrislundsgatan 52,3,77.9,2776,2550000,2198275
Uppsalakommun,Kungsängen,Tullgarnsgatan 14,2,54.0,3283,2625000,2453271
Uppsalakommun,Nåntuna,Nåntunavägen 3,2,87.0,4977,2860000,2860000
Uppsalakommun,Centrum,S:t Persgatan 29,2,67.7,3556,2750000,2391304
Uppsalakommun,Sommarro,Lindsbergsgatan 11C,3,69.7,3932,3300000,2796610
Uppsalakommun,Ulleråker,Eva Lagerwalls Väg 4,3,84.0,5350,2550000,2297297
Uppsalakommun,Höganäs,Väderkvarnsgatan 15C,2,48.5,2175,2450000,2094017
Uppsalakommun,Fålhagen,Norrtäljegatan 29,2,57.0,4355,2910000,2598214
Uppsalakommun,Eriksberg,Lindsbergsgatan 7C,2,46.0,2774,2450000,1991869
Uppsalakommun,Gränby,Blixtgatan 3,2,66.5,3230,1850000,1850000
Uppsalakommun,Luthagen,Norrlandsgatan 42B,3,77.0,4054,2650000,2500000
Uppsalakommun,Luthagen,Formgatan 3,3,78.0,4088,2850000,2794117
Uppsalakommun,Fålhagen,Väderkvarnsgatan 32 B,1,24.8,1443,1790000,1688679
Uppsalakommun,Fålhagen,Fålhagsleden 3 C,1,39.0,2467,2200000,2095238
Uppsalakommun,Luthagen,Norrlandsgatan 36A,2,63.0,3175,2700000,2389380
Uppsalakommun,ÅRSTA,Kummingatan 4C,3,79.7,4429,2550000,2383177
Uppsalakommun,Salabacke,Gröna gatan 31D,5,111.0,6157,3100000,2980769
Uppsalakommun,Kapellgärdet,Vattholmavägen 6A,2,57.0,3208,2350000,2303921
Uppsalakommun,Luthagen,Götgatan 10B,1,37.0,1880,2600000,2148760
Uppsalakommun,Kapellgärdet,Portalgatan 56,3,86.5,4859,2825000,2640186
Uppsalakommun,Årsta,Fyrislundsgatan 32,1.5,45.0,2757,1700000,1588785
Uppsalakommun,Fålhagen,Petterslundsgatan 22C,3.5,86.6,4703,3600000,2950819
Uppsalakommun,Norby,Tryffelvägen 11,2,67.0,5156,1800000,2950819
Uppsalakommun,Luthagen,Fyrisvallsgatan 3b,3,78.0,5639,2995000,2995000
Uppsalakommun,Länna,Kalle blanks väg 2,1,36.7,2267,995000,995000
Uppsalakommun,Sävja,"Blekingevägen 18, 1tr",4,95.4,5609,1920000,1600000
Uppsalakommun,Löten,Heidenstamsgatan 51,2,65.5,3728,1850000,1681818
Uppsalakommun,Sommarro,Norbyvägen 44B,5,150.0,6298,4850000,4754901
Uppsalakommun,Ulleråker,Gustaf Kjellbergs väg 12,3.5,93.1,6179,2700000,2700000
Uppsalakommun,GamlaUppsala,Gamla uppsalagatan 5,2,49.0,2995,1995000,1995000
Uppsalakommun,Löten,Heidenstamsgatan 1,2,65.5,3736,1800000,1747572
Uppsalakommun,Sävja,Gotlandsresan 99 -  med uthyrningsdel,4,104.5,6628,2370000,2194444
Uppsalakommun,Kungsängen,Sågargatan 15 B,3,91.0,3970,4170000,3504201
Uppsalakommun,Kapellgärdet,Portalgatan 63,3,91.0,5502,3650000,3201754
Uppsalakommun,Luthagen,Gimogatan 13A,2,43.0,2836,2150000,1972477
Uppsalakommun,Kungsängen,Kungsgatan 93C,2,54.0,2367,2800000,2499999
Uppsalakommun,Luthagen,Tiundagatan 22B,2,52.9,2821,2295000,2295000
Uppsalakommun,Eriksberg,Gnejsvägen 5B,2.5,61.5,3781,2200000,1999999
Uppsalakommun,Kåbo,Dag Hammarskjölds väg 15c,1.5,36.0,3335,1700000,1588785
Uppsalakommun,Kåbo,Dekangatan 4,2,43.5,2883,2145000,2145000
Uppsalakommun,Luthagen,Fyrisvallsgatan 10A,1,29.0,1995,1795000,1795000
Uppsalakommun,Salabacke,Fyrislundsgatan 21A,3,80.0,4530,3300000,2894736
Uppsalakommun,Fålhagen,Norrtäljegatan 20B,2,55.0,2900,2850000,2567567
Uppsalakommun,Rosendal,Dekangatan 4,2,41.5,2794,2045000,2045000
Uppsalakommun,Rosendal,Dekangatan 4,2,41.5,2794,2195000,2195000
Uppsalakommun,FrämreLuthagen,Sturegatan 1,1,39.2,2625,2400000,2086956
Uppsalakommun,Salabacke,Johannesbäcksgatan 34C,2,63.0,2964,2195000,2195000
Uppsalakommun,Kåbo,Gerd Enequists gata 14,4,90.5,5055,3745000,3745000
Uppsalakommun,Fålhagen,Eskilsgatan 4 A,1,20.0,1469,1325000,1261904
Uppsalakommun,Salabacke,Salabacksgatan 62,3,76.6,4441,3700000,3303571
Uppsalakommun,Skyttorp,Myrvägen 7,2.5,67.7,4628,1095000,1095000
Uppsalakommun,Årsta,Fyrislundsgatan 54,3,83.5,3928,2395000,2395000
Uppsalakommun,Årsta,Fänkålsgatan 33,5,101.0,5869,3000000,3000000
Uppsalakommun,Centrum,Trädgårdsgatan 12B,3.5,100.0,4562,8000000,6504065
Uppsalakommun,Svartbäcken,Idunagatan 20 C,1.5,46.0,2734,2400000,2285714
Uppsalakommun,Industristaden,Kungsgatan 93C,1.5,36.0,1651,2365000,2189814
Uppsalakommun,Fålhagen,Petterslundsgatan 14E,1,24.0,1759,1695000,1695000
Uppsalakommun,Centrum,Salagatan 35B,3,74.0,4055,3750000,3712871
Uppsalakommun,Kåbo,Dag Hammarskjölds väg 15C,1,27.0,2480,1595000,1490654
Uppsalakommun,Ulleråker,Ulleråkersvägen 64,6,136.0,8179,4000000,1490654
Uppsalakommun,Centrum,Hamnesplanaden 2 A,4,103.1,4974,4325000,4004629
Uppsalakommun,Höganäs,Storgatan 22 E,3,76.9,3773,4020000,3495652
Uppsalakommun,Fålhagen,Norrtäljegatan 9 A,2,59.0,3470,3630000,3392523
